2019-07-18 14:52:26,753 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-07-18 14:53:44,810 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cucumber:mavenprojectprototype:0.0.1-SNAPSHOT @ D:\cucumbertesting\mavenprojectprototype\pom.xml.
2019-07-18 14:53:45,324 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /mavenprojectprototype/src/main/java
2019-07-18 14:53:45,327 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /mavenprojectprototype/src/main/resources
2019-07-18 14:53:45,328 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /mavenprojectprototype/src/test/java
2019-07-18 14:53:45,331 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /mavenprojectprototype/src/test/resources
2019-07-18 14:53:46,669 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-18 14:53:46,676 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-07-18 14:53:46,679 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-18 14:53:46,682 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-07-18 14:57:03,602 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cucumber:mavenprojectprototype:0.0.1-SNAPSHOT @ D:\cucumbertesting\mavenprojectprototype\pom.xml.
2019-07-18 14:57:04,330 [Worker-0] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/juint/juint/3.8.1/juint-3.8.1.pom
2019-07-18 14:57:04,773 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-18 14:57:04,793 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-07-18 14:57:04,796 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-18 14:57:04,800 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-07-18 14:57:20,863 [Worker-11] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\cucumbertesting\mavenprojectprototype
2019-07-18 14:57:20,863 [Worker-11] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B test
2019-07-18 14:57:25,742 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-18 14:57:25,745 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-07-18 14:57:25,747 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-18 14:57:25,750 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-07-18 14:57:35,607 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2019-07-18 14:57:56,096 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2019-07-18 14:58:06,344 [Worker-9] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\cucumbertesting\mavenprojectprototype
2019-07-18 14:58:06,344 [Worker-9] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2019-07-18 14:58:09,010 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-18 14:58:09,016 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-07-18 14:58:09,018 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-18 14:58:09,021 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-07-18 14:58:36,409 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-07-18 14:58:37,324 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cucumber:mavenprojectprototype:0.0.1-SNAPSHOT @ D:\cucumbertesting\mavenprojectprototype\pom.xml.
2019-07-18 14:58:37,326 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for juint:juint:jar:3.8.1 is missing, no dependency information available
2019-07-18 14:58:37,716 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /mavenprojectprototype/src/main/java
2019-07-18 14:58:37,717 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /mavenprojectprototype/src/main/resources
2019-07-18 14:58:37,718 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /mavenprojectprototype/src/test/java
2019-07-18 14:58:37,718 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /mavenprojectprototype/src/test/resources
2019-07-18 14:58:37,850 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2019-07-18 14:58:38,019 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-07-18 14:58:38,023 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
